Estado,Fecha,Tasa_Predicha
Puebla,2026-02-01,2.183508893976599
Puebla,2026-03-01,2.183353147718403
Puebla,2026-04-01,2.183197401460207
Puebla,2026-05-01,2.183041655202011
Puebla,2026-06-01,2.1828859089438146
Querétaro,2026-01-01,2.8839881671206973
Querétaro,2026-02-01,2.8934091951616594
Querétaro,2026-03-01,2.902830223202622
Querétaro,2026-04-01,2.9122512512435845
Querétaro,2026-05-01,2.9216722792845466
Querétaro,2026-06-01,2.9310933073255088
Quintana Roo,2026-01-01,8.677304977461311
Quintana Roo,2026-02-01,8.706639894758709
Quintana Roo,2026-03-01,8.735974812056106
Quintana Roo,2026-04-01,8.765309729353504
Quintana Roo,2026-05-01,8.794644646650902
Quintana Roo,2026-06-01,8.8239795639483
San Luis Potosí,2026-01-01,2.69934985927956
San Luis Potosí,2026-02-01,2.697484014627328
San Luis Potosí,2026-03-01,2.6956181699750954
San Luis Potosí,2026-04-01,2.6937523253228632
San Luis Potosí,2026-05-01,2.691886480670631
San Luis Potosí,2026-06-01,2.690020636018399
Sinaloa,2026-01-01,3.950610935905053
Sinaloa,2026-02-01,3.9760296645323376
Sinaloa,2026-03-01,4.001448393159622
Sinaloa,2026-04-01,4.026867121786907
Sinaloa,2026-05-01,4.052285850414192
Sinaloa,2026-06-01,4.077704579041477
Sonora,2026-01-01,4.830106090092775
Sonora,2026-02-01,4.848358930340531
Sonora,2026-03-01,4.866611770588286
Sonora,2026-04-01,4.8848646108360425
Sonora,2026-05-01,4.903117451083799
Sonora,2026-06-01,4.921370291331555
Tabasco,2026-01-01,4.008851834399581
Tabasco,2026-02-01,4.008943816527717
Tabasco,2026-03-01,4.0090357986558525
Tabasco,2026-04-01,4.009127780783987
Tabasco,2026-05-01,4.009219762912123
Tabasco,2026-06-01,4.009311745040258
Tamaulipas,2026-01-01,2.3271151420757716
Tamaulipas,2026-02-01,2.3256938718642366
Tamaulipas,2026-03-01,2.324272601652702
Tamaulipas,2026-04-01,2.3228513314411665
Tamaulipas,2026-05-01,2.3214300612296315
Tamaulipas,2026-06-01,2.3200087910180964
Tlaxcala,2026-01-01,0.6862069024231181
Tlaxcala,2026-02-01,0.673506275471877
Tlaxcala,2026-03-01,0.6608056485206357
Tlaxcala,2026-04-01,0.6481050215693944
Tlaxcala,2026-05-01,0.6354043946181533
Tlaxcala,2026-06-01,0.6227037676669123
Veracruz de Ignacio de la Llave,2026-01-01,3.17678465124619
Veracruz de Ignacio de la Llave,2026-02-01,3.1778761471628605
Veracruz de Ignacio de la Llave,2026-03-01,3.178967643079531
Veracruz de Ignacio de la Llave,2026-04-01,3.180059138996202
Veracruz de Ignacio de la Llave,2026-05-01,3.1811506349128726
Veracruz de Ignacio de la Llave,2026-06-01,3.1822421308295437
Yucatán,2026-01-01,0.773917519140449
Yucatán,2026-02-01,0.7784796429845648
Yucatán,2026-03-01,0.7830417668286805
Yucatán,2026-04-01,0.7876038906727962
Yucatán,2026-05-01,0.792166014516912
Yucatán,2026-06-01,0.7967281383610277
Zacatecas,2026-01-01,6.442862102436573
Zacatecas,2026-02-01,6.4963482681084255
Zacatecas,2026-03-01,6.549834433780278
Zacatecas,2026-04-01,6.60332059945213
Zacatecas,2026-05-01,6.6568067651239815
Zacatecas,2026-06-01,6.710292930795835
